контекст,snippet_x,snippet_y,category_id,маркер
"Горы и реки изменить легко, характер человека - трудно. Cha me sinh con, trai sinh tnh [23] (= Отец и мать рождают сына, небо - характер","Горы и реки изменить легко, характер человека - трудно.","Cha me sinh con, trai sinh tnh [23] (= Отец и мать рождают сына, небо - характер",comparison_m,nd
"Перевод вьетнамской пословицы Cha no, con ny (= Каков отец, таков сын [9]) соответствует русским: Каков батька, таковы и детки; Какова хата, таков и тын, каков отец, таков и сын; Яблоко от яблоньки недалеко катится; Каков пень, таков и отростень; Какова матка, таковы и детки [14].","Перевод вьетнамской пословицы Cha no, con ny (= Каков отец, таков сын [9])","соответствует русским: Каков батька, таковы и детки; Какова хата, таков и тын, каков отец, таков и сын; Яблоко от яблоньки недалеко катится; Каков пень, таков и отростень; Какова матка, таковы и детки [14].",comparison_m,соответствовать
"Вьет. Day con t thud con tha, day va t thud ba va mai v [24] (= Учи ребенка, пока он мал, учи жену, пока она только начала супружескую жизнь (Перевод Нгуен Тхи Тхуи Чам)) близка по смыслу русским Учи ребенка, пока поперек лавки лежит; Не учили поперёк лавочки, а во всю вытянулся - не научишь; Учи жену без детей, а детей без людей [11].","Вьет. Day con t thud con tha, day va t thud ba va mai v [24] (= Учи ребенка, пока он мал, учи жену, пока она только начала супружескую жизнь (Перевод Нгуен Тхи Тхуи Чам))","близка по смыслу русским Учи ребенка, пока поперек лавки лежит; Не учили поперёк лавочки, а во всю вытянулся - не научишь; Учи жену без детей, а детей без людей [11].",comparison_m,близок
"Вьетнамская пословица Me day con khe, cha day con khn [30] (= Мать учит - дети ловкие, отец учит -дети умные (Перевод Доан Тхи Кам Чьеу)) формирует поле смыслов об отношениях родителей и детей. Русские пословицы Родители трудолюбивы - и дети не ленивы [14]; Родительское благословение на воде не тонет, на огне не горит [4] не могут считаться эквивалентными вьетнамским, потому что в них не дифференцирована роль отца и матери в воспитании детей, хотя единство темы следует все же признать.","Вьетнамская пословица Me day con khe, cha day con khn [30] (= Мать учит - дети ловкие, отец учит -дети умные (Перевод Доан Тхи Кам Чьеу)) формирует поле смыслов об отношениях родителей и детей.","Русские пословицы Родители трудолюбивы - и дети не ленивы [14]; Родительское благословение на воде не тонет, на огне не горит [4] не могут считаться эквивалентными вьетнамским, потому что в них не дифференцирована роль отца и матери в воспитании детей, хотя единство темы следует все же признать.",comparison_m,считаться эквивалетными
"Русские пословицы на заданную вьетнамской пословицей тему отличаются лексической образностью и стилистикой: Для такого характера и сатана не пугало [14]; Послушному сыну отцов приказ не ломит спину; Не учил сына, поколе поперек лавочки укладывался, а как во всю вытянулся, не научишь; Не учила сына, когда кормила, а тебя кормить станет, так не научишь [4]. Cha me sinh con, trai sinh tnh [23] (= Отец и мать рождают сына, небо - характер (Перевод Ву Хыу Куиет)); Горы и реки изменить легко, характер человека - трудно.","Русские пословицы на заданную вьетнамской пословицей тему отличаются лексической образностью и стилистикой: Для такого характера и сатана не пугало [14]; Послушному сыну отцов приказ не ломит спину; Не учил сына, поколе поперек лавочки укладывался, а как во всю вытянулся, не научишь; Не учила сына, когда кормила, а тебя кормить станет, так не научишь [4].","Cha me sinh con, trai sinh tnh [23] (= Отец и мать рождают сына, небо - характер (Перевод Ву Хыу Куиет)); Горы и реки изменить легко, характер человека - трудно.",comparison_m,отличаться
"G cng mot me ch hoi nhau [26] (= Цыплята одной матери не ссорятся (Перевод Нгуен Тхи Тхуи Чам)). В русских пословицах В дружной семье и в холод тепло; Мир в семье женой держится; Согласную семью беды обходят; При солнышке тепло - при матери добро; Дитя плачет, а у матери сердце болит; Детушек воспитать - не курочек пересчитать [14] - при тематической близости отсутствует общая, необходимая для эквивалентов образность, и даже в последней пословице смысловой акцент делается на роли матери, а не на миролюбии деточек,",G cng mot me ch hoi nhau [26] (= Цыплята одной матери не ссорятся (Перевод Нгуен Тхи Тхуи Чам)).,"В русских пословицах В дружной семье и в холод тепло; Мир в семье женой держится; Согласную семью беды обходят; При солнышке тепло - при матери добро; Дитя плачет, а у матери сердце болит; Детушек воспитать - не курочек пересчитать [14] - при тематической близости отсутствует общая, необходимая для эквивалентов образность, и даже в последней пословице смысловой акцент делается на роли матери, а не на миролюбии деточек,",comparison_m,при близости
"Большинство вышеперечисленных признаков характерны и для немецкоязычного дискурса. Представления об идеальной женщине также связаны с такими понятиями, как привлекательность, сексуальность, женственность, чувственность, элегантность, уникальность. Таким образом, наиболее характерными чертами образа идеальной женщины русскоязычного рекламного парфюмерного дискурса являются: привлекательность, сексуальность, женственность, чувственность, элегантность, гламурность, уверенность в себе, неповторимость и уникальность.","Большинство вышеперечисленных признаков характерны и для немецкоязычного дискурса. Представления об идеальной женщине также связаны с такими понятиями, как привлекательность, сексуальность, женственность, чувственность, элегантность, уникальность.","Таким образом, наиболее характерными чертами образа идеальной женщины русскоязычного рекламного парфюмерного дискурса являются: привлекательность, сексуальность, женственность, чувственность, элегантность, гламурность, уверенность в себе, неповторимость и уникальность.",comparison_m,характерный
"Однако в отличие от русскоязычной рекламы мы не обнаружили образов, созданных на основе представлений о гламурной диве,  в немецкой рекламе значительно преобладает образ женщины независимой и самостоятельной. При этом образ немецкой идеальной женщины - это не только уверенная в себе и энергичная дама, но и женщина- лидер, занимающая ведущую позицию в обществе.","Однако в отличие от русскоязычной рекламы мы не обнаружили образов, созданных на основе представлений о гламурной диве, ","в немецкой рекламе значительно преобладает образ женщины независимой и самостоятельной. При этом образ немецкой идеальной женщины - это не только уверенная в себе и энергичная дама, но и женщина- лидер, занимающая ведущую позицию в обществе.",comparison_m,в отличие от X
"Научный характер текста - в том, что он содержит художественные термины (название стилей и направлений в искусстве, материалов, техник, элементов рисунка и оборудования) и стилистически нейтральную лексику. Публицистичность искусствоведческого текста проявляется в наличии большого количества фактов, имен, дат.","Научный характер текста - в том, что он содержит художественные термины (название стилей и направлений в искусстве, материалов, техник, элементов рисунка и оборудования) и стилистически нейтральную лексику.","Публицистичность искусствоведческого текста проявляется в наличии большого количества фактов, имен, дат.",comparison_m,
"переводная искусствоведческая литература до 1990-го года выполняла идеологическую функцию (как и все прочие издания),  а, начиная с 90-х, основной функцией становится дополнительная. Переводная литература как бы дополняет отечественное искусствоведческое знание [3, с. 178].","переводная искусствоведческая литература до 1990-го года выполняла идеологическую функцию (как и все прочие издания), ","а, начиная с 90-х, основной функцией становится дополнительная. Переводная литература как бы дополняет отечественное искусствоведческое знание [3, с. 178].",comparison_m,а
"В недавнем прошлом в традиционной системе обучения имелось некорректно составленное правило, увязывающее типы предложения по цели высказывания со знаком в его конце (нынешние студенты его еще помнят и репродуцируют): «По цели высказывания все предложения делятся на повествовательные, вопросительные и восклицательные». Желая указать на возможность поставить в конце высказывания точку, вопросительный или восклицательный знак, авторы учебника формировали неправильные в основе своей теоретические знания, поскольку мы не строим фразу с целью воскликнуть; в речи це-леполагание заключается в передаче информации, в выражении вопроса или побуждении кого-либо к какому-либо действию. В более современных учебниках (например, «Русский язык» для 2-го класса А. В. Поляковой) [3] формулировка меняется, но тем не менее в одно правило сводятся предложения повествовательные, вопросительные (по цели высказывания) и восклицательные (по эмоциональной окраске): В повествовательных предложениях в конце ставится точка. В вопросительных в конце ставится вопросительный знак. В восклицательных предложениях ставится восклицательный знак.","В недавнем прошлом в традиционной системе обучения имелось некорректно составленное правило, увязывающее типы предложения по цели высказывания со знаком в его конце (нынешние студенты его еще помнят и репродуцируют): «По цели высказывания все предложения делятся на повествовательные, вопросительные и восклицательные». Желая указать на возможность поставить в конце высказывания точку, вопросительный или восклицательный знак, авторы учебника формировали неправильные в основе своей теоретические знания, поскольку мы не строим фразу с целью воскликнуть; в речи це-леполагание заключается в передаче информации, в выражении вопроса или побуждении кого-либо к какому-либо действию.","В более современных учебниках (например, «Русский язык» для 2-го класса А. В. Поляковой) [3] формулировка меняется, но тем не менее в одно правило сводятся предложения повествовательные, вопросительные (по цели высказывания) и восклицательные (по эмоциональной окраске): В повествовательных предложениях в конце ставится точка. В вопросительных в конце ставится вопросительный знак. В восклицательных предложениях ставится восклицательный знак.",comparison_m,nd
"Трусца вне приведенного контекста воспринимается как узуальное слово, обозначающее неторопливый бег, мелкую рысь11. Но в данном случае трусцой зарифмовано с польцой. В отличие от трусцы, слова польца в русском языке нет.","Трусца вне приведенного контекста воспринимается как узуальное слово, обозначающее неторопливый бег, мелкую рысь11. Но в данном случае трусцой зарифмовано с польцой.","В отличие от трусцы, слова польца в русском языке нет.",comparison_m,в отличие от X
"Если в (а) отыменный релятив вне зависимости от оформляет связь между двумя компонентами (приобщиться вне зависимости от расы и национальности), то в (б) он является показателем еще одной линии отношений: любой, вне зависимости от расы и национальности. Таким образом, синтаксическая конструкция типа (б) может рассматриваться как трехчленная, при этом формальная структура такой трехчленной конструкции и ее лексико-семантическое наполнение оказываются типизированными (в данном случае - кванторные слова как одни из компонентов конструкции), что, в свою очередь, обусловлено семантическими свойствами предложного образования, проявляющимися, в частности, в его синтагматике. Аналогичное явление втягивания в состав конструкции третьего компонента наблюдается у синонимичного предлога «независимо от» [9, с. 260].","Если в (а) отыменный релятив вне зависимости от оформляет связь между двумя компонентами (приобщиться вне зависимости от расы и национальности), то в (б) он является показателем еще одной линии отношений: любой, вне зависимости от расы и национальности. Таким образом, синтаксическая конструкция типа (б) может рассматриваться как трехчленная, при этом формальная структура такой трехчленной конструкции и ее лексико-семантическое наполнение оказываются типизированными (в данном случае - кванторные слова как одни из компонентов конструкции), что, в свою очередь, обусловлено семантическими свойствами предложного образования, проявляющимися, в частности, в его синтагматике.","Аналогичное явление втягивания в состав конструкции третьего компонента наблюдается у синонимичного предлога «независимо от» [9, с. 260].",comparison_m,"аналогичный, синонимичный"
"например: В нашей солярке вчетверо больше серы в сравнении с Европой, почти две трети выпускаемых бензинов - АИ-76 (в «цивилизованных странах» он даже не производится) (Проценко Александр экономический обозреватель «Труда». ПОМЕНЬШЕ ДЫМА // Труд-7, 2002.02.06) [Там же]. Ср. эталонное построение: наша солярка в сравнении с соляркой Европы или: наша в сравнении с европейской.","например: В нашей солярке вчетверо больше серы в сравнении с Европой, почти две трети выпускаемых бензинов - АИ-76 (в «цивилизованных странах» он даже не производится) (Проценко Александр экономический обозреватель «Труда». ПОМЕНЬШЕ ДЫМА // Труд-7, 2002.02.06) [Там же].",Ср. эталонное построение: наша солярка в сравнении с соляркой Европы или: наша в сравнении с европейской.,comparison_m,ср.
"так и объект, представленный позже (в составе характеристики основного объекта), — «извращенцы». мы можем считать антецедентом как предыдущий и основной для смысла данного контекста объект — «вампиры»,","так и объект, представленный позже (в составе характеристики основного объекта), — «извращенцы».","мы можем считать антецедентом как предыдущий и основной для смысла данного контекста объект — «вампиры»,",comparison_m,как… так и
"мы можем считать антецедентом как предыдущий и основной для смысла данного контекста объект — «вампиры», С точки зрения участника ситуации («природа»), представленного автором в тексте, отсылка может заключать в себе объект, обозначенный как «родные детки»,","с точки зрения автора (более отвлеченной и обобщающей), объект отсылки — прежде всего «люди».","С точки зрения участника ситуации («природа»), представленного автором в тексте, отсылка может заключать в себе объект, обозначенный как «родные детки»,",comparison_m,с точки зрения X... с точки зрения Y
"[4, с. 8],—в данном случае при пер© Ю. И. Матвейкина, 2009 вой анафорической отсылке («они выдают себя за извращенцев») антецедент («вампиры») идентифицируется легко, так как данный объект сохраняет свой статус основного объекта описания; при последующей анафорической отсылке («но у них совершенно другие интересы и цели») возникает проблема выбора объекта, о котором идет речь. В этом случае возможна двоякая идентификация: мы можем считать антецедентом как предыдущий и основной для смысла данного контекста объект — «вампиры», так и объект, представленный позже (в составе характеристики основного объекта), — «извращенцы».","[4, с. 8],—в данном случае при пер© Ю. И. Матвейкина, 2009 вой анафорической отсылке («они выдают себя за извращенцев») антецедент («вампиры») идентифицируется легко, так как данный объект сохраняет свой статус основного объекта описания;","при последующей анафорической отсылке («но у них совершенно другие интересы и цели») возникает проблема выбора объекта, о котором идет речь. В этом случае возможна двоякая идентификация: мы можем считать антецедентом как предыдущий и основной для смысла данного контекста объект — «вампиры», так и объект, представленный позже (в составе характеристики основного объекта), — «извращенцы».",comparison_m,
"так и обобщенный объект, связанный с обозначением, данным говорящим реальному участнику («маньяк») и соотнесенный с опытом говорящего (акцент на идентификации участника ситуации с «маньяком» позволила бы сделать отсылка с помощью указательной группы с местоимением «такой», которая часто употребляется в контекстах, обобщающих опыт и знания говорящего: «таких людей нужно отвлекать разговором»). и при осуществлении отсылки (в продолжение своей мысли о данном объекте) говорящий подразумевает как человека, находящегося непосредственно рядом с ним в пространстве конситуации (в подобных случаях возможна отсылка с помощью указательной группы: «этого человека нужно отвлекать разговором»),","так и обобщенный объект, связанный с обозначением, данным говорящим реальному участнику («маньяк») и соотнесенный с опытом говорящего (акцент на идентификации участника ситуации с «маньяком» позволила бы сделать отсылка с помощью указательной группы с местоимением «такой», которая часто употребляется в контекстах, обобщающих опыт и знания говорящего: «таких людей нужно отвлекать разговором»).","и при осуществлении отсылки (в продолжение своей мысли о данном объекте) говорящий подразумевает как человека, находящегося непосредственно рядом с ним в пространстве конситуации (в подобных случаях возможна отсылка с помощью указательной группы: «этого человека нужно отвлекать разговором»),",comparison_m,как… так и
"то другие корневые морфемы {мио-, бради-, тахи-, стеноз-, эктаз-, склероз-) указывают не на орган, а на ткань, состояние, качество, свойство, связанное с отклонением от нормы в функционировании или структуре органа. Так, если корневая морфема кард- или пневм- называют анатомическое понятие, обозначающее орган, с заболеванием которого связана исследуемая система,","то другие корневые морфемы {мио-, бради-, тахи-, стеноз-, эктаз-, склероз-) указывают не на орган, а на ткань, состояние, качество, свойство, связанное с отклонением от нормы в функционировании или структуре органа.","Так, если корневая морфема кард- или пневм- называют анатомическое понятие, обозначающее орган, с заболеванием которого связана исследуемая система,",comparison_m,если... то
"в русском есть «дружеское ты» и «начальническое ты»,  что сходно с функциями японских простых форм,","в русском есть «дружеское ты» и «начальническое ты», ","что сходно с функциями японских простых форм,",comparison_m,что сходно с
"И если одни исследователи утверждают, что практически все поддается переводу, то, по мнению других, передача смыслов между языками проблематична, а иногда просто невозможна, т.к. даже переформулирование внутри одного языка чревато искажениями и потерями [5].","И если одни исследователи утверждают, что практически все поддается переводу,","то, по мнению других, передача смыслов между языками проблематична, а иногда просто невозможна, т.к. даже переформулирование внутри одного языка чревато искажениями и потерями [5].",comparison_m,если... то
"Тихиро Рин навязывают, и Рин воспринимает это как наказание, поэтому и в речи превалируют приказные резкие формы, в русском языке это было бы так называемое «начальническое ты».","Тихиро Рин навязывают, и Рин воспринимает это как наказание, поэтому и в речи превалируют приказные резкие формы,",в русском языке это было бы так называемое «начальническое ты».,comparison_m,nd 
"На этот раз нельзя не отметить некоторые плюсы французского перевода: в нем характер героини передан более точно и смена отношения выражена гораздо более ощутимо. Тогда как в русском переводе из-за изначально нечетко определенного уровня вежливости эти перемены прослеживаются не столь явно: «дружеские ты» перемежаются с откровенной грубостью и даже оскорблениями. Так, вероятно, в качестве компенсации в русском варианте в дальнейшем при переводе реплик Рин периодически вставляются слова типа «тупица».",На этот раз нельзя не отметить некоторые плюсы французского перевода: в нем характер героини передан более точно и смена отношения выражена гораздо более ощутимо.,"Тогда как в русском переводе из-за изначально нечетко определенного уровня вежливости эти перемены прослеживаются не столь явно: «дружеские ты» перемежаются с откровенной грубостью и даже оскорблениями. Так, вероятно, в качестве компенсации в русском варианте в дальнейшем при переводе реплик Рин периодически вставляются слова типа «тупица».",comparison_m,тогда как
