,snippet_x,category_id,snippet_y,filename,маркер,,Антонимы,Синонимы,Повторы,Гипонимы/гиперонимы,отрицание,позиция маркера,другое РО,жанр,,,
,"Горы и реки изменить легко, характер человека - трудно.",comparison_m,"Cha me sinh con, trai sinh tnh [23] (= Отец и мать рождают сына, небо - характер",ling_20.pkl,nd,параллелизм,нет,нет,нет,нет,нет,nd,,наука,,,
,"Перевод вьетнамской пословицы Cha no, con ny (= Каков отец, таков сын [9])",comparison_m,"соответствует русским: Каков батька, таковы и детки; Какова хата, таков и тын, каков отец, таков и сын; Яблоко от яблоньки недалеко катится; Каков пень, таков и отростень; Какова матка, таковы и детки [14].",ling_20.pkl,соответствовать,параллелизм,нет,нет,нет,нет,нет,2,,наука,,,
,"Вьет. Day con t thud con tha, day va t thud ba va mai v [24] (= Учи ребенка, пока он мал, учи жену, пока она только начала супружескую жизнь (Перевод Нгуен Тхи Тхуи Чам))",comparison_m,"близка по смыслу русским Учи ребенка, пока поперек лавки лежит; Не учили поперёк лавочки, а во всю вытянулся - не научишь; Учи жену без детей, а детей без людей [11].",ling_20.pkl,близок,параллелизм,нет,нет,нет,нет,нет,2,,наука,,,
,"Вьетнамская пословица Me day con khe, cha day con khn [30] (= Мать учит - дети ловкие, отец учит -дети умные (Перевод Доан Тхи Кам Чьеу)) формирует поле смыслов об отношениях родителей и детей.",comparison_m,"Русские пословицы Родители трудолюбивы - и дети не ленивы [14]; Родительское благословение на воде не тонет, на огне не горит [4] не могут считаться эквивалентными вьетнамским, потому что в них не дифференцирована роль отца и матери в воспитании детей, хотя единство темы следует все же признать.",ling_20.pkl,считаться эквивалетными,параллелизм,нет,нет,да (пословица),нет,да,2,,наука,,,
,"Русские пословицы на заданную вьетнамской пословицей тему отличаются лексической образностью и стилистикой: Для такого характера и сатана не пугало [14]; Послушному сыну отцов приказ не ломит спину; Не учил сына, поколе поперек лавочки укладывался, а как во всю вытянулся, не научишь; Не учила сына, когда кормила, а тебя кормить станет, так не научишь [4].",comparison_m,"Cha me sinh con, trai sinh tnh [23] (= Отец и мать рождают сына, небо - характер (Перевод Ву Хыу Куиет)); Горы и реки изменить легко, характер человека - трудно.",ling_20.pkl,отличаться,параллелизм,нет,нет,нет,нет,нет,nd,,наука,,,
,G cng mot me ch hoi nhau [26] (= Цыплята одной матери не ссорятся (Перевод Нгуен Тхи Тхуи Чам)).,comparison_m,"В русских пословицах В дружной семье и в холод тепло; Мир в семье женой держится; Согласную семью беды обходят; При солнышке тепло - при матери добро; Дитя плачет, а у матери сердце болит; Детушек воспитать - не курочек пересчитать [14] - при тематической близости отсутствует общая, необходимая для эквивалентов образность, и даже в последней пословице смысловой акцент делается на роли матери, а не на миролюбии деточек,",ling_20.pkl,при близости,параллелизм,нет,нет,нет,нет,нет,nd,,наука,,,
,"Большинство вышеперечисленных признаков характерны и для немецкоязычного дискурса. Представления об идеальной женщине также связаны с такими понятиями, как привлекательность, сексуальность, женственность, чувственность, элегантность, уникальность.",comparison_m,"Таким образом, наиболее характерными чертами образа идеальной женщины русскоязычного рекламного парфюмерного дискурса являются: привлекательность, сексуальность, женственность, чувственность, элегантность, гламурность, уверенность в себе, неповторимость и уникальность.",ling_18.pkl,характерный,параллелизм,нет,нет,однокоренные (рекламный дискурс/ дискурс рекламы; привлекательный/привлекательность; сексуальный/сексуальность; чувственный/чувственность; элегантный/элегантность),нет,нет,nd,,наука,,,
,"Однако в отличие от русскоязычной рекламы мы не обнаружили образов, созданных на основе представлений о гламурной диве, ",comparison_m,"в немецкой рекламе значительно преобладает образ женщины независимой и самостоятельной. При этом образ немецкой идеальной женщины - это не только уверенная в себе и энергичная дама, но и женщина- лидер, занимающая ведущую позицию в обществе.",ling_18.pkl,в отличие от X,преобладает,нет,нет,да (реклама),нет,да,1,,наука,,,
,"Научный характер текста - в том, что он содержит художественные термины (название стилей и направлений в искусстве, материалов, техник, элементов рисунка и оборудования) и стилистически нейтральную лексику.",comparison_m,"Публицистичность искусствоведческого текста проявляется в наличии большого количества фактов, имен, дат.",ling_13.pkl,,,квази (публицистичность/научный характер(содержать-проявляться),нет,да (текст),нет,нет,nd,антитеза научный - публицистический,наука,,,
,"переводная искусствоведческая литература до 1990-го года выполняла идеологическую функцию (как и все прочие издания), ",comparison_m,"а, начиная с 90-х, основной функцией становится дополнительная. Переводная литература как бы дополняет отечественное искусствоведческое знание [3, с. 178].",ling_13.pkl,а,параллельные конструкции,нет,выполнять-становиться,да (функция; искусствоведческий),нет,нет,2,Контраст,наука,,,
,"В недавнем прошлом в традиционной системе обучения имелось некорректно составленное правило, увязывающее типы предложения по цели высказывания со знаком в его конце (нынешние студенты его еще помнят и репродуцируют): «По цели высказывания все предложения делятся на повествовательные, вопросительные и восклицательные». Желая указать на возможность поставить в конце высказывания точку, вопросительный или восклицательный знак, авторы учебника формировали неправильные в основе своей теоретические знания, поскольку мы не строим фразу с целью воскликнуть; в речи це-леполагание заключается в передаче информации, в выражении вопроса или побуждении кого-либо к какому-либо действию.",comparison_m,"В более современных учебниках (например, «Русский язык» для 2-го класса А. В. Поляковой) [3] формулировка меняется, но тем не менее в одно правило сводятся предложения повествовательные, вопросительные (по цели высказывания) и восклицательные (по эмоциональной окраске): В повествовательных предложениях в конце ставится точка. В вопросительных в конце ставится вопросительный знак. В восклицательных предложениях ставится восклицательный знак.",ling_29.pkl,nd,меняться,да (в прошлом/ в современных),нет,однокоренные (обучение/учебник),нет,да,nd,анитеза в прошлом - в более современных,наука,,,
,"Трусца вне приведенного контекста воспринимается как узуальное слово, обозначающее неторопливый бег, мелкую рысь11. Но в данном случае трусцой зарифмовано с польцой.",comparison_m,"В отличие от трусцы, слова польца в русском языке нет.",ling_11.pkl,в отличие от X,нет,нет,нет,да (трусца),нет,да,2,,наука,,,
,"Если в (а) отыменный релятив вне зависимости от оформляет связь между двумя компонентами (приобщиться вне зависимости от расы и национальности), то в (б) он является показателем еще одной линии отношений: любой, вне зависимости от расы и национальности. Таким образом, синтаксическая конструкция типа (б) может рассматриваться как трехчленная, при этом формальная структура такой трехчленной конструкции и ее лексико-семантическое наполнение оказываются типизированными (в данном случае - кванторные слова как одни из компонентов конструкции), что, в свою очередь, обусловлено семантическими свойствами предложного образования, проявляющимися, в частности, в его синтагматике.",comparison_m,"Аналогичное явление втягивания в состав конструкции третьего компонента наблюдается у синонимичного предлога «независимо от» [9, с. 260].",ling_48.pkl,"аналогичный, синонимичный",,нет,нет,да (компонент),нет,нет,2,,наука,,,
,"например: В нашей солярке вчетверо больше серы в сравнении с Европой, почти две трети выпускаемых бензинов - АИ-76 (в «цивилизованных странах» он даже не производится) (Проценко Александр экономический обозреватель «Труда». ПОМЕНЬШЕ ДЫМА // Труд-7, 2002.02.06) [Там же].",comparison_m,Ср. эталонное построение: наша солярка в сравнении с соляркой Европы или: наша в сравнении с европейской.,ling_48.pkl,ср.,,нет,нет,да (солярка; Европа),нет,нет,nd,,наука,,,
,"так и объект, представленный позже (в составе характеристики основного объекта), — «извращенцы».",comparison_m,"мы можем считать антецедентом как предыдущий и основной для смысла данного контекста объект — «вампиры»,",ling_49.pkl,как… так и,,квази (предыдущий/представленный позже),нет,да (объект),нет,нет,both,,наука,,,
,"с точки зрения автора (более отвлеченной и обобщающей), объект отсылки — прежде всего «люди».",comparison_m,"С точки зрения участника ситуации («природа»), представленного автором в тексте, отсылка может заключать в себе объект, обозначенный как «родные детки»,",ling_49.pkl,с точки зрения X... с точки зрения Y,параллельные конструкции,квази (автор/участник),нет,да (с точки зрения; отсылка; объект),да люди-детки,нет,both,,наука,,,
,"[4, с. 8],—в данном случае при пер© Ю. И. Матвейкина, 2009 вой анафорической отсылке («они выдают себя за извращенцев») антецедент («вампиры») идентифицируется легко, так как данный объект сохраняет свой статус основного объекта описания;",comparison_m,"при последующей анафорической отсылке («но у них совершенно другие интересы и цели») возникает проблема выбора объекта, о котором идет речь. В этом случае возможна двоякая идентификация: мы можем считать антецедентом как предыдущий и основной для смысла данного контекста объект — «вампиры», так и объект, представленный позже (в составе характеристики основного объекта), — «извращенцы».",ling_49.pkl,,параллельные конструкции,квази (в данном - при последующем),нет,да (анафорическая отсылка),основной-проблема выбора),нет,nd,,наука,,,
,"так и обобщенный объект, связанный с обозначением, данным говорящим реальному участнику («маньяк») и соотнесенный с опытом говорящего (акцент на идентификации участника ситуации с «маньяком» позволила бы сделать отсылка с помощью указательной группы с местоимением «такой», которая часто употребляется в контекстах, обобщающих опыт и знания говорящего: «таких людей нужно отвлекать разговором»).",comparison_m,"и при осуществлении отсылки (в продолжение своей мысли о данном объекте) говорящий подразумевает как человека, находящегося непосредственно рядом с ним в пространстве конситуации (в подобных случаях возможна отсылка с помощью указательной группы: «этого человека нужно отвлекать разговором»),",ling_49.pkl,как… так и,,квази (непосредственно рядом/обобщенный),нет,да (говорящий),нет,нет,both,,наука,,,
,"то другие корневые морфемы {мио-, бради-, тахи-, стеноз-, эктаз-, склероз-) указывают не на орган, а на ткань, состояние, качество, свойство, связанное с отклонением от нормы в функционировании или структуре органа.",comparison_m,"Так, если корневая морфема кард- или пневм- называют анатомическое понятие, обозначающее орган, с заболеванием которого связана исследуемая система,",ling_8.pkl,если... то,другие,нет,да (называть/указывать),да (корневая морфема; орган),нет,нет,both,,наука,,,
,"в русском есть «дружеское ты» и «начальническое ты», ",comparison_m,"что сходно с функциями японских простых форм,",ling_36.pkl,что сходно с,параллелизм,нет,нет,нет,нет,нт,2,,наука,,,
в контраст,"И если одни исследователи утверждают, что практически все поддается переводу,",comparison_m,"то, по мнению других, передача смыслов между языками проблематична, а иногда просто невозможна, т.к. даже переформулирование внутри одного языка чревато искажениями и потерями [5].",ling_36.pkl,если... то,параллельные конструкции; другие,"да один/другой; поддается, проблематична",да ( передача смыслов/перевод),нет,да все-иногда,нет,both,,наука,,,
,"Тихиро Рин навязывают, и Рин воспринимает это как наказание, поэтому и в речи превалируют приказные резкие формы,",comparison_m,в русском языке это было бы так называемое «начальническое ты».,ling_36.pkl,nd ,,нет,да (приказной/начальнический),да язык,нет,нет,nd,,наука,,,
,На этот раз нельзя не отметить некоторые плюсы французского перевода: в нем характер героини передан более точно и смена отношения выражена гораздо более ощутимо.,comparison_m,"Тогда как в русском переводе из-за изначально нечетко определенного уровня вежливости эти перемены прослеживаются не столь явно: «дружеские ты» перемежаются с откровенной грубостью и даже оскорблениями. Так, вероятно, в качестве компенсации в русском варианте в дальнейшем при переводе реплик Рин периодически вставляются слова типа «тупица».",ling_36.pkl,тогда как,, (точно/более ощутимо-не столь явно),да ,да (перевод),,"нечетко, не столь явно",2,,наука,,,
,"которые, впрочем, благодаря иероглифике возможны и в японском языке.",comparison_m,"Китайские перевертни в письменном виде выглядят и как графические палиндромы,",ling_55.pkl,впрочем,и как,нет,да (перветни-иероглифика),нет,нет,нет,2,,наука,,,
,чего нельзя сказать о звучании этого графического палиндрома.,comparison_m,"Внешне такая запись выглядит с графической точки зрения симметричной,",ling_55.pkl,X нельзя сказать о,,да (запись/звучание),нет,да (графический),нет,нельзя,2,,наука,,,
в контраст,"В собственно слоговых (по классификации В.Б.Касевича) языках типа китайского процедуре переворачивания подвергаются слоги целиком (а не их иници-али, централи или финали!), ",comparison_m,в языках же неслоговых (фонемных) типа русского наиболее важную роль играют отдельные звуки речи.,ling_55.pkl,же,,да (слоговы/неслоговы;),нет,да (язык),да целиком/отдельные,неслоговый,2,антитеза слоговые - неслоговые,наука,,,
,"а моры, в которых наблюдается редукция гласных, сохраняют свою роль тактовых единиц8.",comparison_m,"что моры проявляют тенденцию к изохронности7,",ling_55.pkl,а,,нет,да сохраняют-проявляют тенденцию,да (моры),нет,нет,2,Контраст,наука,,,
,"Отметим, что в случае с японским языком при этом нарушается, так сказать, звуковая симметрия, которая в определенной степени является не менее важной, чем визуальная (письменная). Так, в придуманном топониме ЯМАМОТО-ЯМА «гора Ямамото» первую и третью позицию занимает одинаковый иероглиф, который может быть озвучен как ЯМА «гора», а центральную позицию - иероглиф, звучащий как MOTO «основа». Внешне такая запись выглядит с графической точки зрения симметричной, чего нельзя сказать о звучании этого графического палиндрома.",comparison_m,"Похожий термин существовал и существует, по всей вероятности, в китайском языке с той же этимологией, при этом он служит для обозначения несколько отличного от текстов типа «А роза упала...» языкового явления. Китайская традиция следует переворачиванию морфем, совпадающих структурно со слогами, отраженными на письме иероглифами. Китайские перевертни в письменном виде выглядят и как графические палиндромы, которые, впрочем, благодаря иероглифике возможны и в японском языке. В таких языках, как русский (см. примеры выше), английский (Madam, I'm Adam; A Santa lived as a devil at NASA), финский (Saippuakauppias 'торговец мылом') и других, видно, что в процессе переворачивания роль основных «кирпичиков» играют звуки речи (~ фонемы), реже - буквы. И даже в таких случаях нельзя говорить об абсолютной одинаковости звучания исходного и перевернутого текстов, т. е. о некой звуковой симметрии. Ведь каждый отдельный звук речи сам по себе имеет разные фазы артикуляции (экскурсия, выдержка и рекурсия), что делает его асимметричным в принципе. Этот акустический феномен хорошо иллюстрируют, например, записи озвученных текстов на магнитную пленку, воспроизведенные в обратном направлении: по реверсивному звучанию довольно трудно или даже невозможно опознать и восстановить исходное звучание.",ling_55.pkl,похожий,,нет,нет,нет,нет,нет,2,,наука,,,
,"Интересные факты, свидетельствующие о функциональности моры, представлены в монографии Х.Кубодзоно, в которой анализируются оговорки японцев в быстрой речи, и в его же работе о структуре слога и море12, в которой дается анализ явлений, наблюдаемых в японском языке при применении техники смешивания слов (word-blending). Автор этих работ приходит к выводу о высокой степени самостоятельности моры в современном японском языке.",comparison_m,"Похожие выводы делает и Д. А.Биричевский, проведя ряд экспериментов, в которых природные носители японского языка произносили речевые стимулы в убыстренном темпе13.",ling_55.pkl,похожий,,нет,нет,да (быстрый-убыстренный),нет,нет,2,,наука,,,
,"~ ср. с волками жить - по-волчьи выть; в чужой монастырь со своим уставом не ходят [6, с. 640].",comparison_m,"В приведенном примере происходит сокращение компонентного состава всем хорошо известного выражения When in Rome, do as the Romans do. / J3 каком народе живешь, того обычая и держись';",ling_30.pkl,ср.,,нет,нет,нет,нет,нет,2,,наука,,,
в контраст,Некоторые речевые способы выражения причинных отношений способны в развернутой форме отражать причинный и событийный компоненты. ,comparison_m,"Другие же выражают причинный и событийный компоненты в свернутом, редуцированном виде.",ling_46.pkl,же,некоторые/другие,да (развернутый/редуцированны),нет,нет,нет,нет,2,,наука,,,
,"(2) Mancher Unternehmensleiter mag sich noch in Sicherheit wiegen, weil die Eigenkapitalausstattung nach wie vor befriedigend ist [ 12, S. 12]. / Некоторые руководители предприятий могут чувствовать себя в безопасности, так как по-прежнему обеспечены собственным капиталом.",comparison_m,"(1) Первое, что необходимо усвоить при общении с людьми: это не мешать им жить в свое удовольствие, так как они привыкли к этому сами [1, с. 34].",ling_46.pkl,,(1) (2) - сравнение примеров,,,,,нет,nd,,наука,,,
в контраст,"В предложно-падежной конструкции событийный компонент представлен в более свернутом виде, чем в придаточном предложении, ",comparison_m,"а причинный компонент выражается в полной, развернутой форме.",ling_46.pkl,а,параллельные конструкции,"да (свернутый/полный, развернутый)",да (событийный/причинный; представлен/выражается),да (компонент),нет,нет,2,,наука,,,
,"Средствами формирования причинных отношений в предложно-падежных конструкциях в немецком языке являются такие предлоги, как «angesichts» (ввиду, учитывая, с учетом), «auf» (согласно, по), «aus» (из, от, по причине), «dank» (по причине), «durch» (c помощью, благодаря), «nach» (с, согласно, по), «ber» (из-за), «unter» (от), «vermge» (в силу, в следствие), «vor» (от, с), «wegen» (из-за, ради) и другие [5, с. 300; 11, с. 365].",comparison_m,"В русском языке выделим такие предлоги, как «благодаря», «в связи», «по причине», «ввиду», «в результате», «из-за», «из», «по», «с», «от» и другие [7, с. 55; 10, с. 16].",ling_46.pkl,,параллельные конструкции,нет,да (являются-выделим),да предлоги,нет,нет,nd,,наука,,,
,Событийный компонент представлен в данных предложениях в развернутой форме.,comparison_m,"В правой части иерархии располагаются те конструкции, в которых причинный компонент не получает эксплицитного выражения.",ling_46.pkl,,параллельные конструкции,нет,нет,да компонент,,да,nd,,наука,,,
,"Причинный компонент также может быть выражен имплицитно и в немецком языке в сложносочиненном предложении со следственным союзом, в сложноподчиненных предложениях с придаточными цели, условия, времени и т.д.",comparison_m,"Причинный компонент выражен в русском языке имплицитно в придаточных предложениях следствия, цели, условия, уступки в составе сложноподчиненных предложений, в деепричастных оборотах и т.д. [10, с. 16-34].",ling_46.pkl,также,параллеьные конструкции,нет,нет,"да выражен, имплицитно",нет,нет,2,,наука,`,,
,"Непроизводные предлоги типа «из», «по», «от», «с», «из-за» и прочие (в русском языке) и «auf», «aus», «durch», «nach», «ber», «unter», «vor» (в немецком языке), участвующие в формировании значения причины в предложно-падежных конструкциях, многозначны.",comparison_m,"Производные предлоги «благодаря», «в связи», «по причине», «ввиду», «в результате» и другие (в русском языке) и «dank», «vermge» и другие (в немецком языке), сохраняя связь с производной основой, способны самостоятельно выражать причинные отношения.",ling_46.pkl,,параллельные конструкции,нет,нет,да предлоги,нет,да непроизводные/производные,nd,,наука,,,
в контраст,"что престижный выделенный статус в ней получают придаточные предложения, так как только они способны представить в максимально развернутой форме как причинный, так и событийный компоненты. ",comparison_m,"Остальные члены иерархии получают периферийный статус, так как причинный или событийный компоненты в них частично или полностью редуцируются.",ling_46.pkl,,параллельные конструкции; остальные,"да (престижный/периферийный, максимальный-редуцируются",да предложения-члены,нет,нет,нет,nd,,наука,,,
,"Если И.Ф. Протченко, говоря о советизмах, относит к ним слова советского времени и не приводит подробной классификации,",comparison_m,"то О.П. Ермакова, например, конкретизирует дефиницию и разбивает данный пласт лексики на тематические группы: «К советизмам отнесены слова, называющие реалии, так или иначе обусловленные советской действительностью: это не только слова, обозначающие чисто советские учреждения (ГПУ, НКВД), названия явлений из области политики правящей партии, но и номинации реалий из сферы экономики и быта: достать (о продуктах, товарах), уплотнить, а также названия явлений, предметов, существовавших и до революции, но получивших новые наименования в советское время, в частности канцеляризмы типа жилплощадь, квартплата и др.» [2:5]. Заметим, О.П. Ермакова в отличие от И.Ф. Протченко предлагает включить в группу советизмов слова, изменившие свое значение и некоторые канцеляризмы.",ling_34.pkl,если... то,,нет,нет,нет,нет,да,both,,наука,,,
в контраст,"В советское время интернационализмы были в основном иллюстрацией положительных явлений действительности, ",comparison_m,а сейчас нередко функционирует в речи в ироническом подтексте или иллюстрирует антисоветскую точку зрения на прошлое.,ling_34.pkl,а,,квази (в советское время/сейчас; положительный/иронический),нет,нет,нет,нет,2,антитеза сейчас - в советское время,наука,,,
