№/название текста,Id,Контекст,Ядро,№,Сателлит/Ядро-2,№,Тип отношения,Маркер,"""Доп. комп-ты"" маркера",Антонимы,Синонимы,Повторы,Гипонимы/гиперонимы,NKRYA: yes/no/nm,rusgram: yes/no/nm,verb/noun/preposition/adverb/adverbial/conjunction/lexfunc,w/mwu/nm,prim/sec/punct/nm,marker in Nuc=1/Sat=2,clause initial / clause internal/nm (marker position),sent initial /no/nm (marker position),???discontinuity,межсент/ межклауз/внутриклауз,"Отрицание, как","Отрицание, где",ana/nd,Nucl=this/that/what/nd/,Sat=this/that/what/nd/,Количество ЭДЕ в 1,Количество ЭДЕ во 2,order of nucleus: 1/2,order of sattelite,Nucl=ind/compl+ind/conv/part/nmz/N/NP,Sat=ind/compl+ind/conv/part/nmz/N/NP,жанр
6,11,"Нельзя сказать, что истерика не имела под собой совсем никаких оснований, но некоторые особенности противоположной стороны (албанских боевиков, представлявших собой смесь наркоторговцев, исламских экстремистов, а главным образом просто бандитов) как-то выпали из виду западных политиков и журналистов, утративших даже видимость объективности.","Нельзя сказать, что истерика не имела под собой совсем никаких оснований,",21,"но некоторые особенности противоположной стороны (албанских боевиков, представлявших собой смесь наркоторговцев, исламских экстремистов, а главным образом просто бандитов) как-то выпали из виду западных политиков и журналистов, утративших даже видимость объективности.",22-25,Contrast,но,даже (дистантно),нет,нет,нет,нет,no,yes,conjunction,w,prim,2,clause initial,no,no,межклауз,"нельзя, не, никакой",1,nd,nd,nd,1,4,,,,,новости
6,12,"Югославская агрессия, казалось бы, стала лучшим подтверждением данного мнения. Правда, на фоне мифов и эмоций у нас и в этом плане кое-чего не заметили.","Югославская агрессия, казалось бы, стала лучшим подтверждением данного мнения.",33,"Правда, на фоне мифов и эмоций у нас и в этом плане кое-чего не заметили.",34,Contrast,правда,казалось бы,нет,нет,нет,нет,no,yes,вводное,w,prim,2,clause initial,sent initial,no,межсент,не,2,nd,nd,nd,1,1,,,,,новости
6,13,"Как и все остальные новые члены альянса, она хотела, чтобы ее защищали, но не имела ни малейшего желания подвергать себя опасности.","Как и все остальные новые члены альянса, она хотела, чтобы ее защищали,",45,но не имела ни малейшего желания подвергать себя опасности.,46,Contrast,но,ни малейшего,да (защищать-подвергать опасности) ,нет,нет,нет,no,yes,conjunction,w,prim,2,clause initial,no,no,межклауз,"не, ни",2,nd,nd,nd,1,1,,,,,новости
6,14,"Хотя никакой войны на море в 1999 году не было вообще, поэтому поход тральщика в Адриатику больше напоминал бы круиз, но даже теоретическая опасность возмутила «викингов».","Хотя никакой войны на море в 1999 году не было вообще, поэтому поход тральщика в Адриатику больше напоминал бы круиз,",49-50,но даже теоретическая опасность возмутила «викингов».,51,Contrast,но,даже,нет,нет,нет,нет,no,yes,conjunction,w,prim,2,clause initial,no,no,межклауз,"никакой, не",1,nd,nd,nd,2,1,,,,,новости
6,15,"Пляски сербов на обломках «невидимки» F-117 видел весь мир, однако до сих пор, по прошествии 10 лет, остается неясным, кто его сбил: то ли ЗРК С-125, то ли ЗРК «Куб», то ли истребитель МиГ-29.","Пляски сербов на обломках «невидимки» F-117 видел весь мир,",65,"однако до сих пор, по прошествии 10 лет, остается неясным, кто его сбил: то ли ЗРК С-125, то ли ЗРК «Куб», то ли истребитель МиГ-29.",66,Contrast,однако,до сих пор,нет,нет,нет,нет,no,yes,conjunction,w,prim,2,clause initial,no,no,межклауз,nd,nd,nd,nd,nd,1,1,,,,,новости
6,16,"Если гражданские объекты (в первую очередь инфраструктуру) она бомбила успешно, то вооруженные силы Югославии (особенно сухопутные войска) практически никак не пострадали, что через год после окончания войны официально признало командование США (потери югославов в тяжелой технике составили менее 2%) .","Если гражданские объекты (в первую очередь инфраструктуру) она бомбила успешно,",78,"то вооруженные силы Югославии (особенно сухопутные войска) практически никак не пострадали, что через год после окончания войны официально признало командование США (потери югославов в тяжелой технике составили менее 2%) .",79-81,Contrast,если ... то,-,да (гражданские-вооруженные),нет,нет,нет,no,yes,conjunction,mwu,prim,двойной,clause initial,,discon,межклауз,"никак, не",2,nd,nd,nd,1,3,,,,,новости
6,17,"##### К началу июня 1999 года США и компания были в очевидном тупике. Они уничтожили большинство назначенных целей, однако югославская армия уверенно контролировала Косово, практически выбив оттуда албанских боевиков.","Они уничтожили большинство назначенных целей,",88,"однако югославская армия уверенно контролировала Косово, практически выбив оттуда албанских боевиков.",89-90,Contrast,однако,-,нет,нет,нет,нет,no,yes,conjunction,w,prim,2,clause initial,no,no,межклауз,nd,nd,nd,nd,nd,1,2,,,,,новости
7,18,"Природа этого вещества неизвестна, но это может быть органика, значительно затемнённая заряженными частицами из магнитосферы Урана.","Природа этого вещества неизвестна,",104,"но это может быть органика, значительно затемнённая заряженными частицами из магнитосферы Урана.",105,Contrast,но,это,нет,нет,нет,нет,no,yes,conjunction,w,prim,2,clause initial,no,no,межклауз,неизвестен,1,nd,nd,nd,1,1,,,,,новости
7,19,"Кольцевая система Нептуна, напротив, похожа на кольцевую систему Урана, но менее сложна, более тёмная и содержит больше пыли; кольца Нептуна расположены от планеты дальше, чем у Урана.","Кольцевая система Нептуна, напротив, похожа на кольцевую систему Урана,",117,"но менее сложна, более тёмная и содержит больше пыли; кольца Нептуна расположены от планеты дальше, чем у Урана.",118-121,Contrast,но,-,нет,нет,нет,нет,,,,,,2,,,,межклауз,nd,nd,,,,1,4,,,,,новости
7,20,"Минимальный радиус имеет кольцо 1986U2R/ζ (38 000 км), максимальный — кольцо μ (приблизительно 98 000 км).","Минимальный радиус имеет кольцо 1986U2R/ζ (38 000 км),",14,максимальный — кольцо μ (приблизительно 98 000 км).,15,Contrast,no marker,-,да (минимальный-максимальный),нет,да (кольцо),нет,,,,,,-,,,,межклауз,nd,nd,,,,1,1,,,,,новости
7,21,"##### Геометрическая толщина кольца ε достоверно неизвестна, хотя, по некоторым оценкам, составляет примерно 150 метров. Несмотря на столь малую толщину,","##### Геометрическая толщина кольца ε достоверно неизвестна,",153,"хотя, по некоторым оценкам, составляет примерно 150 метров.",154,Contrast,хотя,-,да * квази (неизвестна - составляет) ,нет,нет,нет,,,,,,2,,,,межклауз,nd,nd,,,,1,1,,,,,новости
7,22,"У него есть два «спутника-пастуха» — Корделия (внутренний) и Офелия (внешний). Внутренний край кольца находится в орбитальном резонансе 24:25 с Корделией, а внешний край в 14:13 с Офелией. Чтобы эффективно «пасти»","Внутренний край кольца находится в орбитальном резонансе 24:25 с Корделией,",172,а внешний край в 14:13 с Офелией.,173,Contrast,а,-,да (внутренний-внешний,нет,да (край),нет,,,,,,2,,,,межклауз,nd,nd,,,,1,1,,,,,новости
7,23,"Однако некоторые кольца оптически тонкие: широкое тусклое 1986U2R/ζ, μ и ν состоят из мелких частиц пыли, тогда как узкое тусклое λ содержит крупные тела. Относительно небольшое количество пыли в кольцевой системе объясняется","широкое тусклое 1986U2R/ζ, μ и ν состоят из мелких частиц пыли,",25,тогда как узкое тусклое λ содержит крупные тела.,26,Contrast,тогда как,-,"да (широкий-узкий, мелкий-крупный)",нет,да (тусклое),нет,,,,,,2,,,,межклауз,nd,nd,,,,1,1,,,,,новости
7,24,"Первоначально считалось, что у каждого узкого кольца есть пара «спутников-пастухов», которые и поддерживают его форму, но в 1986 году Вояджер-2 обнаружил только одну пару таких спутников (Корделию и Офелию) вокруг самого яркого кольца — ε.","Первоначально считалось, что у каждого узкого кольца есть пара «спутников-пастухов», которые и поддерживают его форму,",36-37,но в 1986 году Вояджер-2 обнаружил только одну пару таких спутников (Корделию и Офелию) вокруг самого яркого кольца — ε.,38,Contrast,но,"только, самый",нет,нет,да (спутников-пастухов - спутников),нет,,,,,,2,,,,межклауз,nd,nd,,,,2,1,,,,,новости
7,25,". Записи Гершеля попали в журнал Королевского общества в 1797 году. Однако впоследствии, на протяжении почти двух столетий с 1797 по 1979 год, кольца в научной литературе не упоминаются вовсе, что, конечно, даёт право подозревать ошибку учёного.",. Записи Гершеля попали в журнал Королевского общества в 1797 году.,46,"Однако впоследствии, на протяжении почти двух столетий с 1797 по 1979 год, кольца в научной литературе не упоминаются вовсе, что, конечно, даёт право подозревать ошибку учёного.",47-48,Contrast,однако,"впоследствии, вовсе",нет,нет,нет,нет,,,,,,2,,,,межсент,не,2,,,,1,2,,,,,новости
7,26,"Открытие было сделано случайно — группа учёных планировала провести наблюдения атмосферы Урана при покрытии им звезды SAO 158687. Однако, анализируя полученную после проведённых наблюдений информацию, они обнаружили покрытие звезды ещё до её покрытия Ураном, причём произошло это несколько раз подряд.",— группа учёных планировала провести наблюдения атмосферы Урана при покрытии им звезды SAO 158687.,53,"Однако, анализируя полученную после проведённых наблюдений информацию, они обнаружили покрытие звезды ещё до её покрытия Ураном, причём произошло это несколько раз подряд.",54-57,Contrast,однако,еще,нет,нет,"да (наблюдения, покрытие, звезды)",нет,,,,,,2,,,,межсент,nd,nd,,,,1,3,,,,,новости
7,27,"Последние два кольца доводят общее количество известных колец Урана до 13. В апреле 2006 года изображения новых колец, полученные обсерваторией Кек на Гавайских островах, позволили различить их цвет. Одно из них было красным, а другое (самое внешнее) — синим. Предполагают, что синий цвет внешнего кольца обусловлен тем,","Одно из них было красным,",70,а другое (самое внешнее) — синим.,71,Contrast,а,самый,"да (одно-другое), (красный-синий) *квази",нет,нет,нет,,,,,,2,,,,межклауз,nd,nd,,,,1,1,,,,,новости
8,28,"##### Часть новых планшетов будет дешевле Apple (самые радужные прогнозы дают, как всегда, китайцы, которые не упустят возможности завоевать и рынок «айпадов») , однако не настолько, чтобы быть сразу же раскупленными потребителями, которые «пожадничали» и не потратились на устройства первой волны.","Часть новых планшетов будет дешевле Apple (самые радужные прогнозы дают, как всегда, китайцы, которые не упустят возможности завоевать и рынок «айпадов»)",35-36,"однако не настолько, чтобы быть сразу же раскупленными потребителями, которые «пожадничали» и не потратились на устройства первой волны.",37-38,Contrast,однако,"как всегда, настолько",нет,нет,нет,нет,,,,,,2,,,,межклауз,не,2,,,,3,2,,,,,новости
8,29,"В то же время он сочетает в себе такое количество функций, что это позволяет утверждать: iPad — не уникальный технологический продукт, а хорошо продуманный и конъюнктурный, следующий основным трендам, которые будут определять медиа-потребление в течение ближайших 5—10 лет.","что это позволяет утверждать: iPad — не уникальный технологический продукт,",50,"а хорошо продуманный и конъюнктурный, следующий основным трендам,",51,Contrast,не ... а,-,да (уникальный-конъюнктурный) *квази,нет,нет,нет,,,,,,двойной,,,,межклауз,не,1,,,,1,1,,,,,новости
8,30,"Но вот первые исследования показали, что если обычно информационный сайт читают на протяжении нескольких минут, то iPad — час!","что если обычно информационный сайт читают на протяжении нескольких минут,",62,то iPad — час!,63,Contrast,если ... то,-,да (минута-час) ,нет,нет,нет,,,,,,двойной,,,,межклауз,nd,nd,,,,1,1,,,,,новости
8,31,"##### Чтобы наладить бизнес в приложениях, корпорация Apple вводит рекламную платформу iAd. Однако «входной билет» в систему стоит 1 млн долларов. Впрочем, столь высокая цена не отпугнула рекламодателей: например, Nissan уже заплатил 10 млн.",Однако «входной билет» в систему стоит 1 млн долларов.,77,"Впрочем, столь высокая цена не отпугнула рекламодателей: например, Nissan уже заплатил 10 млн.",78-79,Contrast,впрочем,уже,нет,да (стоить-цена),да (млн),нет,,,,,,2,,,,межсент,не,2,,,,1,2,,,,,новости
8,32,"Самыми активными группами рекламодателей будут телекомщики, FMCG, авто-производители, виноделы, фармацевты и модные товары. Однако даже пионеры планшетной рекламы не готовы тратить на разработку больше 50—200 тыс. долларов, поскольку и отдача пока невелика.","Самыми активными группами рекламодателей будут телекомщики, FMCG, авто-производители, виноделы, фармацевты и модные товары.",84,"Однако даже пионеры планшетной рекламы не готовы тратить на разработку больше 50—200 тыс. долларов, поскольку и отдача пока невелика.",85-86,Contrast,однако,даже,нет,нет,нет,нет,,,,,,2,,,,межсент,не,2,,,,1,2,,,,,новости
9,33,"Тогда Барака поспешили обвинить в сексизме, но, по-видимому, это никак не отразилось на его популярности.","Тогда Барака поспешили обвинить в сексизме,",51,"но, по-видимому, это никак не отразилось на его популярности.",52,Contrast,но,"никак не, это, по-видимому",нет,нет,нет,нет,,,,,,2,,,,межклауз,не,2,,,,1,1,,,,,новости
11,34,"За неделю унция золота подорожала с 921,6 до 952,1 доллара. Однако увеличение количества долларов, ожидаемое рынками, пока не зафиксировано. Наоборот, свежие данные от ФРС показывают уменьшение денежной массы: на 9 марта М1 был равен 1534 млрд долларов. Таким образом, золотое содержание тысячи долларов поднялось до 5,3 грамма.","За неделю унция золота подорожала с 921,6 до 952,1 доллара.",27,"Однако увеличение количества долларов, ожидаемое рынками, пока не зафиксировано. Наоборот, свежие данные от ФРС показывают уменьшение денежной массы: на 9 марта М1 был равен 1534 млрд долларов. Таким образом, золотое содержание тысячи долларов поднялось до 5,3 грамма.",28-33,Contrast,однако,-,да (подорожать-уменьшение),да (подорожать-увеличение),нет,нет,,,,,,2,,,,межсент,не,2,,,,1,4,,,,,новости
11,35,"Со швейцарским франком ситуация противоположная: стало известно, что в феврале денежная масса Швейцарии увеличилась на 3,5%, однако биржевой курс франка и его покупательная способность за неделю выросли. ##### Во время кризиса словно почва уходит из-под ног.","стало известно, что в феврале денежная масса Швейцарии увеличилась на 3,5%,",5,однако биржевой курс франка и его покупательная способность за неделю выросли.,6,Contrast,однако,-,нет,да (увеличиться-вырасти),нет,нет,,,,,,2,,,,межклауз,,,,,,1,1,,,,,новости
11,36,"Фунт и евро немного укрепились, а иена слегка упала, но это незначительные движения. ##### Наименьшим потенциалом падения по-прежнему обладают американский доллар и швейцарский франк, наибольшим — японская иена и фунт стерлингов.","Фунт и евро немного укрепились, а иена слегка упала,",52-53,но это незначительные движения.,54,Contrast,но,это,нет,нет,нет,нет,,,,,,2,,,,межклауз,не,2,,,,1,1,,,,,новости
12,37,"##### День новолуния — всегда сравнительно неблагоприятный — выпадает на среду, 8 сентября. Однако ещё более мрачное расположение планет приходится на понедельник и вторник, мутные последние дни перед новолунием. 6— 7 сентября довольно высока вероятность каких-то крупных катастроф.","##### День новолуния — всегда сравнительно неблагоприятный — выпадает на среду, 8 сентября.",10,"Однако ещё более мрачное расположение планет приходится на понедельник и вторник, мутные последние дни перед новолунием. 6— 7 сентября довольно высока вероятность каких-то крупных катастроф.",11-12,Contrast,однако,еще более,нет,нет,нет,нет,,,,,,2,,,,межсент,,,,,,1,2,,,,,новости
13,38,"Она фиксирует, сколько ты нашагал в день, и шлет отчеты в сеть. Вы можете радоваться и сокрушаться количеству соженных калорий. Для нового iPod, кстати, тоже предусмотрена похожая примочка от Nike.",Вы можете радоваться,30,и сокрушаться количеству соженных калорий.,31,Contrast,и,-,да (радоваться-сокрушаться),нет,нет,нет,,,,,,2,,,,межклауз,,,,,,1,1,,,,,новости
14,39,"##### 10 марта исполнилось 70 лет со дня смерти Михаила Булгакова. Но это не означает, что его произведения автоматически стали общественным достоянием. Руководитель отдела авторского права юридической компании «Усков и Партнёры» Михаил Родионов рассказал «Часкору»",##### 10 марта исполнилось 70 лет со дня смерти Михаила Булгакова.,1,"Но это не означает, что его произведения автоматически стали общественным достоянием.",2,Contrast,но,это,нет,нет,нет,нет,,,,,,2,,,,межсент,не,2,,,,1,2,,,,,новости
14,40,"##### Но это другая правовая система как таковая. У нас нет такого прецедента, чтобы при живом авторе его произведения переводились в общественное достояние только на том основании, что они делались за государственный счёт. Другой вопрос: справедливо это или нет, но действующее законодательство этого не предусматривает. ##### Мне лично кажется,","Другой вопрос: справедливо это или нет,",105,но действующее законодательство этого не предусматривает,106,Contrast,но,это,нет,нет,нет,нет,,,,,,2,,,,межклауз,не,2,,,,1,1,,,,,новости
14,41,"Им либо забывают перечислить деньги, либо это сущие копейки, а основной поток денег идёт не причастным людям. ##### — Я намеренно не касаюсь сейчас позиции конкретных деятелей. Но считаю,","Им либо забывают перечислить деньги, либо это сущие копейки,",124-125,а основной поток денег идёт не причастным людям.,126,Contrast,а,-,да *квази (сущие копейки-основной поток денег) ,нет,нет,нет,,,,,,2,,,,межклауз,не,2,,,,2,1,,,,,новости
14,42,"Возможно, они и знают, что им причитается, но нет ни сил, ни средств на разбирательства. ##### Беседовала Юлия Бурмистрова","Возможно, они и знают, что им причитается,",139-140,"но нет ни сил, ни средств на разбирательства.",141,Contrast,но,-,нет,нет,нет,нет,,,,,,2,,,,межклауз,нет ни... ни,2,,,,1,2,,,,,новости
14,43,"и будет охраняться как минимум до 2017 года. ##### Авторское право репрессированных авторов охраняется, начиная с года реабилитации. ##### 70-летний срок — только самое общее правило охраны авторского права. Но в значительном числе случаев срок действия авторского права на практике может быть пролонгирован. #####",##### 70-летний срок — только самое общее правило охраны авторского права.,42,Но в значительном числе случаев срок действия авторского права на практике может быть пролонгирован.,43,Contrast,но,-,нет,нет,нет,нет,,,,,,2,,,,межсент,nd,nd,,,,1,1,,,,,новости
14,44,"Вот и получается, что фильм вроде немой, старый и все о нём забыли, а он вполне себе охраняемый объект авторского права. ##### — Кстати, о кино.","Вот и получается, что фильм вроде немой, старый и все о нём забыли,",53-54,а он вполне себе охраняемый объект авторского права.,55,Contrast,а,-,нет,нет,нет,нет,,,,,,2,,,,межклауз,,,,,,1,1,,,,,новости
14,45,"##### — После 10 марта начались активные разговоры о том, что произведения Михаила Булгакова переходят в общественное достояние. Так ли это? ##### — Истечение срока правовой охраны и переход произведения в общественное достояние нужно исчислять не просто исходя из биографических данных,","##### — После 10 марта начались активные разговоры о том, что произведения Михаила Булгакова переходят в общественное достояние.",6,Так ли это?,7,Contrast,no marker,-,нет,нет,нет,нет,,,,,,-,,,,межсент,,,,,,1,1,,,,,новости
14,46,"Права на аудиовизуальные произведения, созданные в советские годы, осуществляются правопреемниками этих студий. Был «Мосфильм» — стал киноконцерн «Мосфильм», был «Ленфильм»",Был «Мосфильм»,65,"— стал киноконцерн «Мосфильм»,",66,Contrast,no marker,-,да (был-стал),нет,да (Мосфильм),нет,,,,,,-,,,,межклауз,,,,,,1,1,,,,,новости
14,47,"Права на аудиовизуальные произведения, созданные в советские годы, осуществляются правопреемниками этих студий. Был «Мосфильм» — стал киноконцерн «Мосфильм», был «Ленфильм» — стало акционерное общество «Ленфильм» и так далее.",был «Ленфильм»,67,— стало акционерное общество «Ленфильм» и так далее.,68,Contrast,no marker,-,да (был-стал),нет,да (Ленфильм),нет,,,,,,-,,,,межклауз,,,,,,1,1,,,,,новости
14,48,"Был «Мосфильм» — стал киноконцерн «Мосфильм», был «Ленфильм» — стало акционерное общество «Ленфильм» и так далее. ##### Когда студия-правообладатель продаёт созданный до 1992 года фильм телеканалам или выпускает его на диске, она должна выплачивать соответствующие отчисления авторам — режиссёру, сценаристу, оператору, художнику. С другой стороны, судьба прав на многие фильмы не ясна.","Когда студия-правообладатель продаёт созданный до 1992 года фильм телеканалам или выпускает его на диске, она должна выплачивать соответствующие отчисления авторам — режиссёру, сценаристу, оператору, художнику.",69-70,"С другой стороны, судьба прав на многие фильмы не ясна.",71,Contrast,с другой стороны,-,нет,нет,да (фильм),нет,,,,,,2,,,,межсент,,,,,,2,1,,,,,новости
14,49,"— После 10 марта начались активные разговоры о том, что произведения Михаила Булгакова переходят в общественное достояние. Так ли это? — Истечение срока правовой охраны и переход произведения в общественное достояние нужно исчислять не просто исходя из биографических данных, а исходя из обстоятельств истории создания и обнародования каждого произведения.","##### — Истечение срока правовой охраны и переход произведения в общественное достояние нужно исчислять не просто исходя из биографических данных,",8,а исходя из обстоятельств истории создания и обнародования каждого произведения.,9,Contrast,не ... а,просто,нет,нет,да (исходя из),нет,,,,,,2,,,,межклауз,,,,,,1,1,,,,,новости
